Using the default schema relations
Using Support as pruning metric with threshold 50
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasCheckin>  ?b has taken 33768 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <hasPOI>  ?b has taken 33458 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 126731 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 127971 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 130547 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 128368 ms
countProjectionBindings var=?i in ?b  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 122730 ms
countProjectionBindings var=?i in ?a  <hasTime>  ?h  ?i  <hasTime>  ?h   => ?a  <before>  ?b has taken 121352 ms
countProjectionBindings var=?m in ?a  <hasCheckin>  ?f  ?f  <hasTime>  ?l  ?m  <hasTime>  ?l   => ?a  <hasTrajectoryCategory>  <Weekday> has taken 29933 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?a  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <hasPOI>  ?b has taken 183703 ms
Query ?a  <hasPOI>  ?h  ?b  <hasPOI>  ?h   => ?a  <withinTimeWindow>  ?b discarded by PCA confidence upper bound 0.020347285458598926
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <hasCheckin>  ?b has taken 182817 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <withinTimeWindow>  ?b has taken 134662 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <withinTimeWindow>  ?b (rewritten to ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?h) has taken 133585 ms
countProjectionBindings var=?o in ?b  <hasPOI>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 139905 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <hasPOI>  ?b has taken 184580 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <hasCheckin>  ?b has taken 179712 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <hasPOI>  ?b has taken 180087 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinTimeWindow>  ?b has taken 129736 ms
countProjectionBindings var=?o in ?a  <hasPOI>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 133067 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinTimeWindow>  ?b has taken 606055 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinTimeWindow>  ?b has taken 111541 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 115097 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinTimeWindow>  ?b (rewritten to ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?g  <withinTimeWindow>  ?b) has taken 123072 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinTimeWindow>  ?b has taken 127115 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <withinTimeWindow>  ?b has taken 34668 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinTimeWindow>  ?b has taken 532733 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 137629 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 614192 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <withinTimeWindow>  ?b has taken 115573 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <withinTimeWindow>  ?b has taken 543124 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 111637 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <withinTimeWindow>  ?b has taken 34226 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 139393 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 627605 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <withinTimeWindow>  ?b has taken 120396 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinTimeWindow>  ?b has taken 116940 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinTimeWindow>  ?b has taken 562582 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <withinTimeWindow>  ?b has taken 618300 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 118935 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 670653 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 108869 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <withinTimeWindow>  ?b has taken 108982 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <withinTimeWindow>  ?b has taken 525625 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinTimeWindow>  ?b has taken 582199 ms
countProjectionBindings var=?q in ?a  <before>  ?b  ?a  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinRadius>  ?b has taken 81336 ms
countProjectionBindings var=?q in ?a  <before>  ?b  ?b  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinRadius>  ?b has taken 79531 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinTimeWindow>  ?b   => ?a  <withinRadius>  ?b has taken 81106 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinTimeWindow>  ?b   => ?a  <withinRadius>  ?b has taken 82746 ms
countProjectionBindings var=?q in ?b  <before>  ?a  ?a  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinRadius>  ?b has taken 84818 ms
countProjectionBindings var=?q in ?b  <before>  ?a  ?b  <hasTime>  ?p  ?q  <hasTime>  ?p   => ?a  <withinRadius>  ?b has taken 86689 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinTimeWindow>  ?a   => ?a  <withinRadius>  ?b has taken 84717 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinTimeWindow>  ?a   => ?a  <withinRadius>  ?b has taken 86181 ms
countProjectionBindings var=?o in ?b  <hasPOI>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 185233 ms
countProjectionBindings var=?o in ?a  <hasPOI>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 183626 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinRadius>  ?b has taken 150981 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <withinRadius>  ?b has taken 966499 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <withinRadius>  ?b has taken 139879 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <withinRadius>  ?b (rewritten to ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?h) has taken 143182 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinRadius>  ?b has taken 138611 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <withinRadius>  ?b has taken 519904 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 130644 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <withinRadius>  ?b has taken 38167 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinRadius>  ?b has taken 139890 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <withinRadius>  ?b (rewritten to ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?g  <withinRadius>  ?b) has taken 141487 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 175959 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 729748 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <withinRadius>  ?b has taken 134757 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <withinRadius>  ?b has taken 519300 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 125051 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <withinRadius>  ?b has taken 39326 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 177255 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 735073 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinRadius>  ?b has taken 128521 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <withinRadius>  ?b has taken 515115 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 125856 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 731604 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <withinRadius>  ?b has taken 143726 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <withinRadius>  ?b has taken 972369 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <withinRadius>  ?b has taken 125953 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 122008 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <withinRadius>  ?b has taken 517222 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <withinRadius>  ?b has taken 706998 ms
Query ?a  <hasPOI>  ?h  ?b  <hasPOI>  ?h   => ?a  <before>  ?b discarded by PCA confidence upper bound 0.09662492314662006
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinRadius>  ?b   => ?a  <before>  ?b has taken 82508 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinRadius>  ?b   => ?a  <before>  ?b has taken 83564 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinTimeWindow>  ?b   => ?a  <before>  ?b has taken 72617 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?a  <withinTimeWindow>  ?b   => ?a  <before>  ?b has taken 75849 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinRadius>  ?a   => ?a  <before>  ?b has taken 85268 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinRadius>  ?a   => ?a  <before>  ?b has taken 84320 ms
countProjectionBindings var=?q in ?a  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinTimeWindow>  ?a   => ?a  <before>  ?b has taken 76671 ms
countProjectionBindings var=?q in ?b  <hasTime>  ?p  ?q  <hasTime>  ?p  ?b  <withinTimeWindow>  ?a   => ?a  <before>  ?b has taken 76221 ms
countProjectionBindings var=?o in ?b  <hasPOI>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 199518 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <before>  ?b has taken 144973 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinTimeWindow>  ?h   => ?a  <before>  ?b has taken 591791 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 125002 ms
countProjectionBindings var=?o in ?b  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 519087 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b (rewritten to ?h  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?h) has taken 154389 ms
countProjectionBindings var=?o in ?a  <before>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 156512 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <before>  ?b has taken 133743 ms
countProjectionBindings var=?o in ?a  <hasPOI>  ?h  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 198403 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?b  <withinRadius>  ?h   => ?a  <before>  ?b has taken 720813 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b (rewritten to ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?g  <before>  ?b) has taken 140476 ms
countProjectionBindings var=?o in ?g  <before>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 147327 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <before>  ?b has taken 141228 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <before>  ?b has taken 41923 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?b  ?a  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 196265 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinTimeWindow>  ?h   => ?a  <before>  ?b has taken 578730 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <before>  ?b has taken 130161 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <before>  ?b has taken 131160 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?b   => ?a  <before>  ?b has taken 579994 ms
countProjectionBindings var=?o in ?h  <hasTime>  ?n  ?o  <hasTime>  ?n  ?a  <withinRadius>  ?h   => ?a  <before>  ?b has taken 734163 ms
countProjectionBindings var=?o in ?a  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <before>  ?b has taken 128809 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?g  <hasTrajectoryCategory>  ?n  ?o  <hasTrajectoryCategory>  ?n   => ?a  <before>  ?b has taken 44553 ms
countProjectionBindings var=?o in ?g  <hasCheckin>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 200754 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?b  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 126253 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?b   => ?a  <before>  ?b has taken 724195 ms
countProjectionBindings var=?o in ?g  <before>  ?a  ?g  <hasTime>  ?n  ?o  <hasTime>  ?n   => ?a  <before>  ?b has taken 516838 ms
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <before>  ?b has taken 143750 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinTimeWindow>  ?a   => ?a  <before>  ?b has taken 591534 ms
Rule ?a  <hasTime>  ?h  ?b  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b discarded by functionality heuristic with ratio 2.7297925141979337E-4
Rule ?a  <hasTime>  ?h  ?b  <hasTime>  ?h   => ?a  <withinRadius>  ?b discarded by functionality heuristic with ratio 2.1566451122972816E-4
Rule ?a  <hasTime>  ?h  ?b  <hasTime>  ?h   => ?a  <before>  ?b discarded by functionality heuristic with ratio 1.9933011284203346E-4
countProjectionBindings var=?o in ?b  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <before>  ?b has taken 118450 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <withinTimeWindow>  ?b has taken 367725 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <withinTimeWindow>  ?b has taken 389082 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <withinRadius>  ?b has taken 451830 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <withinRadius>  ?b has taken 486592 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <before>  ?b has taken 484101 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?p   => ?a  <before>  ?b has taken 506728 ms
countProjectionBindings var=?o in ?g  <hasTime>  ?n  ?o  <hasTime>  ?n  ?g  <withinRadius>  ?a   => ?a  <before>  ?b has taken 602607 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <withinTimeWindow>  ?b has taken 317411 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <withinTimeWindow>  ?b has taken 316576 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <withinRadius>  ?b has taken 380874 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <withinRadius>  ?b has taken 366667 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <before>  ?b has taken 416547 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?o  ?p9  ?m   => ?a  <before>  ?b has taken 407299 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?a  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 427461 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?b  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <withinTimeWindow>  ?b has taken 424407 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?a  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 476169 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?b  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <withinRadius>  ?b has taken 474125 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?b  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <before>  ?b has taken 505150 ms
countProjectionBindings var=?p in ?m  <hasPOI>  ?p  ?a  <hasTime>  ?h  ?m  <hasTime>  ?h   => ?a  <before>  ?b has taken 495260 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <withinTimeWindow>  ?b has taken 355229 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <withinTimeWindow>  ?b has taken 352432 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <withinRadius>  ?b has taken 409801 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <withinRadius>  ?b has taken 409820 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <withinTimeWindow>  ?b has taken 340956 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <withinTimeWindow>  ?b has taken 338819 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <before>  ?b has taken 458235 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?m  ?p9  ?t   => ?a  <before>  ?b has taken 452014 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <withinRadius>  ?b has taken 340100 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <withinRadius>  ?b has taken 339622 ms
countProjectionBindings var=?p9 ?a  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <before>  ?b has taken 337887 ms
countProjectionBindings var=?p9 ?b  <hasTime>  ?h  ?m  <hasTime>  ?h  ?s  ?p9  ?m   => ?a  <before>  ?b has taken 344429 ms
Query ?b  <hasMonth>  ?n  ?h  <hasMonth>  ?n  ?a  <hasTrajectory>  ?h   => ?a  <hasTrajectory>  ?b discarded by functionality heuristic with ratio 0.06962025316455696
Query ?b  <hasDayOfTheWeek>  ?n  ?h  <hasDayOfTheWeek>  ?n  ?a  <hasTrajectory>  ?h   => ?a  <hasTrajectory>  ?b discarded by functionality heuristic with ratio 0.04430379746835443
Query ?a  <hasTrajectory>  ?h  ?b  <hasTrajectoryCategory>  ?n  ?h  <hasTrajectoryCategory>  ?n   => ?a  <hasTrajectory>  ?b discarded by functionality heuristic with ratio 0.018508089081432342
Query ?a  <hasCheckin>  ?h  ?b  <hasTime>  ?n  ?h  <hasTime>  ?n   => ?a  <hasCheckin>  ?b discarded by functionality heuristic with ratio 6.583278472679394E-4
Query ?a  <before>  ?h  ?h  <before>  ?n  ?n  <hasPOI>  ?b   => ?a  <hasPOI>  ?b discarded by functionality heuristic with ratio 0.014616437619563041
Query ?n  <before>  ?a  ?g  <before>  ?n  ?g  <hasPOI>  ?b   => ?a  <hasPOI>  ?b discarded by functionality heuristic with ratio 0.014616437619563041
countPairs vars ?b, ?a in ?b <hasTime> <Afternoon>  ?a <hasCheckin> ?j  ?j <hasTime> <Night>  ?x9 <hasCheckin> ?b   has taken 29932 ms
